MlsNumber,PublicRemarks,Bathrooms,Bedrooms,InteriorSize,Type,Ammenities,Address,Longitude,Latitude,PostalCode,NeighbourHood,Price,PropertyType,ParkingSpace,OwnershipType,Appliances,FlooringType,BasementType,HeatingType,LandSize,AmmenitiesNearBy,PropertyTax,ZoningDescription,LowResPhoto
"X5095381","Location Location Location !!! Bright Well Maintained One Of Detached Home Back To Trail !!! Newly Wood Floor Throughout, Lots Of Windows, New Paint, Quiet Neighbourhood, Mins To Local Restaurants, Mall, Supermarkets, Schools &Shops. Walk Distense To University Of Waterloo, Used To Be Licensed Student Rental.And Own Use. Buy To Invest Or Own Use. Recent Improvements!!! Can't Miss This.**** EXTRAS **** Stove, Dishwasher, Washer, Dryer, All Elf's, All Window Coverings And Cac. (27853962)","3","4 + 1",,"House",,"74 KAREN WALK|Waterloo, Ontario N2L6K7","-80.5463426","43.4591645","N2L6K7",,"$550,000 ","Single Family","3","Freehold",,,"N/A (Finished)","Forced air (Natural gas)","39.37 x 124.12 FT",,"$3,547.12",
"40059842","Sometimes you can just feel how well-loved and cared for a family home has been. This is one of those homes. This well-constructed and impeccably maintained '40s era yellow brick home has more than enough space for the entire family. 1648 square feet of character, every inch designed and used beautifully. The layout flows like a dream, with large principal rooms and flooded in natural light. The living room with hardwood floors and a bay window is the heartbeat of the home, a perfect size for Christmas mornings. Archways from room to room. A formal dining room with a bonus sunroom, ideal for that 10 minutes of peace with a coffee you deserve. The kitchen is bright and spacious, with a large footprint, tons of storage and a view to your enormous yard. A showstopping wrought iron railing leads you upstairs to 4 great sized bedrooms for this vintage of home. No shortage of character throughout, with thin strip oak hardwood and original details like high trim, solid wood interior doors and glass doorknobs. Impressive storage for the age of the home, with ample closet space. The bright, sunny main bath with its retro tile, new (2021) vinyl flooring and wall-to-wall hallway storage is guaranteed to make you smile. The family room in the basement has an inviting feel with rich wood finishes, coffered ceiling, plush welcoming carpet and a wood burning fireplace. Cold room storage under the porch and another excellent storage space in the utility area. Second bathroom with a walk-in shower. Concrete driveway and single car garage with access to a park-like fully fenced city lot with plenty of room to run among lush gardens and mature trees. Walkable to downtown, Victoria Park, the Iron Horse trail, grocery stores, restaurants, St. Mary's hospital and anything you may need. Nothing much to do here except move in and enjoy. A complete list of mechanical updates and a home inspection report available. Ask your realtor. A truly special family home ready for its next family. (62817304)","2","4 + 0","1648.0000","House",,"130 HIGHLAND Road W|Kitchener, Ontario N2M3B8","-80.50308866","43.44118047","N2M3B8",,"$599,900 ","Single Family",,"Freehold","Dryer, Refrigerator, Stove, Washer, Hood Fan, Window Coverings",,"Full (Partially finished)","Forced air, (Natural gas)","under 1/2 acre","Golf Nearby, Hospital, Park, Place of Worship, Playground, Public Transit, Shopping",,"R2"
"40059790","What a fantastic location for this beautiful Cape Cod style home! Only minutes from the expressway, the 401, Fairview Park Mall and so much more. A renovation completed in 1995 added a beautiful sunken master bedroom with a cathedral ceiling and an attached garage. The main floor offers an eat-in kitchen with a peninsula moveable island with room for your microwave oven and many handy pullout shelves. There are gorgeous wide plank oak hardwood floors in the Living room / Dining room and the kitchen / dinette area. A walkout from the rear hall to a partially covered sundeck. The upper level has 3 generous sized bedrooms and a full 4 piece bathroom smartly updated with a modern vanity, vinyl plank floor and sliding glass doors on the tub/shower. Added bonus is the finished basement. Here you will find a cozy recreation room accented with knotty pine paneling and a 3 piece bath with ceramic tile floor and corner shower. Some valuable upgrades and extras include a rear yard shed (16' x 8') with hydro, a 100 amp service on breakers, a newer air conditioner (2018), all appliances (in as-is condition), water softener and so much more! (62817259)","2","3 + 0","1300.0000","House",,"44 BRENTWOOD Avenue|Kitchener, Ontario N2H2C5","-80.46249271","43.44219638","N2H2C5",,"$579,900 ","Single Family","5","Freehold","Dryer, Refrigerator, Stove, Water softener, Washer, Window Coverings",,"Full (Partially finished)","Forced air, (Natural gas)","under 1/2 acre","Golf Nearby, Park, Place of Worship, Public Transit, Schools, Shopping",,"RES"
"40059789","PENTHOUSE UNIT WITH SKY HIGH VIEWS of Kitchener-Waterloo and beyond!  Overlooking green space and a pond.  Location, Location, just 1 minute to the expressway, 5 minutes to St Jacobs, 5 minutes to HWY401, walk to restaurants, shopping, Conestoga Shopping Mall, trails, transit, an LRT stop, and more.  This popular 2 bed, 2 bath plan boasts upgrades throughout including carpet free, a full kitchen renovation with ceiling height cabinets, extended counters, soft close hinges, 2 renovated full bathrooms, custom blinds, and more.  You have a fantastic view from just about every room.   There is a separate dining room and dinette, over-sized living room, plus an office area or room for your indoor gym/cycles overlooking the Cityscape.  The building boasts a roof top patio, 2 party rooms, guest suites, hobby/workshop room and a library.  1 parking and 1 locker included, plus 2nd parking spot avail $40 per month.  Truly spacious condo living for any lifestyle. (62817204)","2","2 + 0","1156.0000","Apartment","Guest Suite, Party Room","55 BLUE SPRINGS Drive Unit# PH2|Waterloo, Ontario N2J4T3","-80.52276925","43.48693781","N2J4T3",,"$420,000 ","Single Family",,"Condominium","Dishwasher, Dryer, Refrigerator, Sauna, Stove, Washer, Window Coverings",,"None","(Electric), Forced air",,"Park, Place of Worship, Playground",,"Res"
"40060187","Welcome to the adorable 529 Teakwood Drive! This 3 bedroom, 1.5 bath sidesplit boasts charm and personality! Quaint closed-in front porch area to enjoy your morning coffee or evening cocktail! Great-sized fully fenced backyard and shed for lots of outdoor activities! Not a fan of carpet? Remove it to reveal beautifully well-maintained hardwood floors! 3 great-sized bedrooms, and a 4pc bath on the second level, a powder room on the main and an added bonus room towards the backyard! Perfect for growing families! Located in a great neighbourhood, close to parks, trails, schools and more! Don't miss this one! Book a private showing today! (62817362)","2","3 + 0","1333.0000","House",,"529 TEAKWOOD Drive|Waterloo, Ontario N2L4L5","-80.55422279","43.48471755","N2L4L5",,"$529,900 ","Single Family","8","Freehold","Dishwasher, Dryer, Refrigerator, Stove, Water softener, Washer, Hood Fan, Window Coverings",,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Public Transit, Schools, Shopping",,"RES"
"40059622","Welcome to 144 Park in coveted Uptown Waterloo! This 2 bedroom, 2 bathroom corner unit offers city views with 1,182 sq. ft. of living space(includes balcony) Front lobby has a concierge and fireplace that set the tone for upscale living. Kitchen features granite counters with breakfast bar. Both bedrooms have large windows, that provide an abundance of natural light, master bedroom features large walk-in closet and 4 piece bathroom ensuite, additional 4 piece bathroom and stackable washer/dryer set. Appliances included - fridge, stove, dishwasher, stackable washer and dryer. Building amenities include concierge, exercise room, media room, party room and a rooftop patio area! 1 underground parking spot and storage locker included. Rare electric vehicle charging station allocation. Easy access to restaurants, shops and HWY 8 & HWY 401 and LRT. Call today to view. (62816732)","2","2 + 0","1182.0000","Apartment","Exercise Centre, Party Room","144 PARK Street Unit# 1308|Waterloo, Ontario N2L0B6","-80.52011686","43.45899279","N2L0B6",,"$574,900 ","Single Family","1","Condominium","Dishwasher, Dryer, Refrigerator, Stove, Washer, Window Coverings",,"None","Forced air, (Natural gas)",,"Hospital, Place of Worship, Public Transit, Schools",,"RES"
"X5095230","Stunning Detached Bungalow On A 50' X 135' Lot In A Prime Residential Neighbourhood. This 3 Bedroom Plus Home Is Tastefully Updated And Will Not Disappoint. Look No Further. Newer Laminate Flooring Throughout,  Pot Lights, All Stainless Steel Appliances And Window Coverings (2020). Roof Was Replaced In 2020. Basement Has Potential In-Law Suite. Backs Onto A School Yard.**** EXTRAS **** S/S Stove, S/S Fridge, S/S Dishwasher, S/S Range Hood, Dryer & Washer, All Appliances, Window Coverings, (Water Filtration & Water Softener Sys Are Rentals). Complete Covid 19 Questionnaire Also Found In Supplements Prior To All Showings. (27852170)","2","3 + 3",,"House",,"97 BOEHMER ST|Kitchener, Ontario N2H4N4","-80.4899563","43.4693141","N2H4N4",,"$549,000 ","Single Family","4","Freehold",,,"N/A (Finished)","Forced air (Natural gas)","50 x 135 FT","Public Transit, Schools","$3,309.42",
"40060174","First time buyer, mortgage helper or investor. Awesome opportunity in a great location. Upper level 4 beds/1 bath with self contained laundry. Lower level 1 bed/1 bath, self contained laundry, own separate entrance and own separate driveway. Conveniently located close to hwy 7/8 and access to 401. Bridge to Breslau. On bus route. Amenities a block away. Newer appliances in both units. Fully fenced yards (2018) that are separate from one another. Furnace A/C 2017 There's a lot to like here. (62816866)","2","4 + 1","1115.0000","House",,"21 CONWAY Drive|Kitchener, Ontario N2A2C6","-80.44109302","43.44778443","N2A2C6",,"$579,900 ","Single Family",,"Freehold","Dishwasher, Dryer, Microwave, Refrigerator, Stove, Washer",,"Full (Finished)","Forced air","under 1/2 acre","Airport, Schools",,"RES"
"X5094797","Main Floor: 2 Piece Bathroom, Bright White Kitchen, Dining And Family Room, Large Windows Overlooking Deck,Long Fenced Backyard. Second Floor: Opens To Loft. 3 Bedrooms With 4 Piece Bathroom (Marble Countertop) Cheater Door To Master. Fully Finished Basement :Additional Family Room, Multipurpose Room Perfect As Bedroom, Private Office, Storage. Recreational Space With 2 Piece Bathroom, Closeted Laundry.**** EXTRAS **** List Of Inclusions And Exclusions Are Attached  Co-Listed With Dori Mueller From Davenport Realty, Brokerage (27850340)","3","3 + 1",,"House",,"416 ST. ARMAND DR|Waterloo, Ontario N2T2Y7","-80.5730782","43.4506167","N2T2Y7",,"$599,900 ","Single Family","3","Freehold",,,"Full (Finished)","Forced air (Natural gas)","35.01 x 163.78 FT","Park, Public Transit, Schools","$3,600",
"40059925","Stunning Detached Bungalow on a 50' X 135' Lot in a prime residential neighbourhood. This 3 Bedroom Plus Home is tastefully updated and will not disappoint. Look no further. Newer Laminate flooring throughout,  Pot lights, all Stainless Steel appliances and window coverings (2020). Roof was replaced in 2020. Basement has Potential in-law suite. Backs onto a school yard. (62815114)","2","3 + 3",,"House",,"97 BOEHMER Street|Kitchener, Ontario N2H4N4","-80.48991203","43.46923441","N2H4N4",,"$549,000 ","Single Family","4","Freehold","Dishwasher, Dryer, Refrigerator, Stove, Water softener, Washer, Hood Fan, Window Coverings",,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Public Transit, Schools",,"R2A"
